; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・漢字部首表』片山博文MZ
; "MZ-IME Japanese Input, The Kanji Radical Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
; 補注：一点しんにょうのフォントがないため、画像で用意する。
;-------------------------------------------------------------------------------
;部首ID	部首ID2	部首	画数	読み
1	1	一	1	いち
2	2	丨	1	ぼう、たてぼう
3	3	丶	1	てん
4	4	丿	1	の、はらいぼう
5	5	乙	1	おつ、おつにょう
6	5	乚	1	つりばり
7	6	亅	1	はねぼう、けつ、かぎ
8	7	二	2	に
9	8	亠	2	なべぶた、けいさんかんむり、けさんかんむり
10	9	人	2	ひと、ひとがしら、ひとやね
11	9	亻	2	にんべん
12	10	儿	2	にんにょう、ひとあし
13	11	入	2	いる、いりがしら、いりやね、にゅう
14	12	八	2	はち、はちがしら
15	13	冂	2	けいがまえ、まきがまえ、どうがまえ、えんがまえ
16	14	冖	2	わかんむり、べきかんむり
17	15	冫	2	にすい
18	16	几	2	つくえ、きにょう、つくえきにょう、かぜかんむり、かぜがまえ
19	17	凵	2	かんにょう、うけばこ
20	18	刀	2	かたな
21	18	刂	2	りっとう
22	19	力	2	ちから
23	20	勹	2	つつみがまえ
24	21	匕	2	ひ、さじ、さじのひ
25	22	匚	2	はこがまえ
26	23	匸	2	かくしがまえ
27	24	十	2	じゅう
28	25	卜	2	ぼく、ぼくのと、うらない
29	26	卩	2	ふしづくり、まげわりふ
30	27	厂	2	がんだれ
31	28	厶	2	む
32	29	又	2	また
33	30	口	3	くち、くちへん
34	31	囗	3	くにがまえ
35	32	土	3	つち、つちへん
36	33	士	3	さむらい、さむらいかんむり
37	34	夂	3	ふゆがしら、ちかんむり、のまたかんむり
38	35	夊	3	すいにょう、なつあし
39	36	夕	3	ゆう、ゆうべ、た
40	37	大	3	だい、だいかんむり、だいかしら
41	38	女	3	おんな、おんなへん
42	39	子	3	こ、こへん、こども、こどもへん
43	40	宀	3	うかんむり
44	41	寸	3	すん
45	42	小	3	しょう、ちいさい、しょうがしら、なおがしら
46	43	尢	3	だいのまげあし、まげあし
47	43	尣	4	おうにょう、おう
48	44	尸	3	しかばね、しかばねかんむり、かばね、かばねだれ
49	45	屮	3	てつ、くさのめ、めばえ
50	46	山	3	やま、やまへん
51	47	巛	3	まがりかわ
52	47	川	3	かわ、さんぽがわ
53	48	工	3	こう、たくみへん、たくみ
54	49	己	3	こ、き、おのれ
55	49	已	3	し、すでに
56	49	巳	3	し、み
57	50	巾	3	はば、はばへん、きんへん、きんべん
58	51	干	3	かん、いちじゅう、ほす
59	52	幺	3	よう、いとがしら
60	53	广	3	まだれ
61	54	廴	3	えんにょう、えんにゅう、いんにょう
62	55	廾	3	きょう、こまぬき、にじゅうあし
63	56	弋	3	よく、しきがまえ
64	57	弓	3	ゆみ、ゆみへん
65	58	彐	3	けいがしら、いのこがしら
66	58	彑	3	けいがしら、いのこがしら
67	58	ヨ	3	けいがしら、いのこがしら
68	59	彡	3	さんづくり、けかざり、かみかざり
69	60	彳	3	ぎょうにんべん
70	61	心	4	こころ、したごころ
71	61	忄	3	しっしんべん
72	62	戈	4	ほこ、ほこづくり、ほこがまえ、たすき、かのほこ
73	63	戶	4	と、とかんむり、とだれ、とびらのと
74	63	戸	4	と、とかんむり、とだれ、とびらのと
75	64	手	4	て
76	64	扌	3	てへん
77	65	支	4	しにょう、えだにょう、じゅうまた
78	66	攴	4	ぼくづくり、ぼくにょう
79	66	攵	4	のぶん、しぶん、とまた
